Número doprocesso - SIPAC/SIGAA,Ano do registro,Título da atividade,Nome do (a) Coordenador (a),Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada),
PJ193-2023,2023,IMPLEMENTACÃO DO MODELO DE GESTÃO COMUNITÁRIA DO SANEAMENTO RURAL APLICADO AO SISTEMA DE ESGOTAMENTO SANITÁRIO DO BAIRRO PESSEGUEIRO/ZONA RURAL/ ITAJUBÁ/MG.,MARCIA VIANA LISBOA MARTINS,IRN,01/08/2023,31/12/2023,NÃO,R$ 6.957,60,
PJ194-2023,2023,EDUCACÃO E TECNOLOGIA SOCIAL: SABERES POPULARES, FORMACÃO CIENTÍFICA E GERACÃO DE RENDA,CARLOS ALBERTO MAXIMO PIMENTA,IEPG,01/08/2023,29/12/2023,NÃO,,
PJ195-2023,2023,REVITALIZACÃO DO LABORATÓRIO DE CIÊNCIAS DA ESCOLA ESTADUAL MARQUÊS DE SAPUCAÍ - DELFIM MOREIRA/MG,EVANDRO FORTES ROZENTALSKI,IFQ,01/08/2023,31/12/2023,NÃO,R$ 8.206,55,
PJ196-2023,2023,FUNDACÃO ASIMO SOCIAL,LUIZ LENARTH GABRIEL VERMAAS,IESTI,01/08/2023,31/12/2023,NÃO,R$ 7.000,0,
PJ197-2023,2023,VIRTUALIZACÃO DO MUSEU THEODOMIRO SANTIAGO: EXPOSICÃO SOBRE INSTRUMENTOS DE LABORATÓRIO,JANE RAQUEL SILVA DE OLIVEIRA,IFQ,01/08/2023,31/12/2023,NÃO,R$ 8.000,0,
PJ198-2023,2023,OBR101 – FRONTIERS ACADEMY,OTAVIO DE SOUZA MARTINS GOMES,IESTI,01/08/2023,31/12/2023,NÃO,R$ 8.400,0,
PJ199-2023,2023,TREINO OBMEP TERCEIRO NÍVEL - INTENSIVÃO,RICK ANTONIO RISCHTER,IMC,01/08/2023,31/12/2023,NÃO,R$ 8.400,0,
PJ200-2023,2023,SEMEANDO CIENTISTAS 3,MILADY RENATA APOLINARIO DA SILVA,IFQ,01/08/2023,31/12/2023,NÃO,R$ 8.400,0,
PJ201-2023,2023,NÃO MEXE COM A MINHA COR: LETRAMENTO RACIAL E EDUCACÃO ANTIRRACISTA NAS ESCOLAS E UNIVERSIDADES,ANA CAROLINA SALES OLIVEIRA,IFQ,01/08/2023,31/12/2023,NÃO,R$ 8.400,0,
EV071-2023,2023,PARTICIPACÃO DA EQUIPE ECOVEÍCULO ELÉTRICO NA SHELL ECO-MARATHON BRASIL 2023,GABRIEL ANTONIO FANELLI DE SOUZA,IESTI,29/08/2023,01/09/2023,SIM,,,
