Número doprocesso - SIPAC/SIGAA,Ano do registro,Título da atividade,Nome do (a) Coordenador (a),Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
23088.007798/2017-20,2017,DANADA DE LATA: ESTIMULANDO A CRIATIVIDADE POR MEIO DA MUSICA E DA SUCATA,CIBELE MOREIRA MONTEIRO ROSA,IFQ,1/6/2017,31/12/2017,SIM ," R$ 7.995,00 "," R$ 9.053,98 "
23088.007802/2017-80,2017,TECNOLOGIAS EMERGENTES A SERVICO DA APRENDIZAGEM,CLAUDIA ELIANE DA MATTA,ISEE,17/4/2017,22/12/2017,SIM ," R$ 10.800,00 ",
23088.007811/2017-71,2017,PROJETO DENTRO E FORA; CIRANDA DE FORMACAO ACADEMICA E PEDAGOGICA INTERDISCIPLINAR DOCENTE,RITA DE CASSIA MAGALHAES TRINDADE STANO,IEPG,1/4/2017,31/12/2017,SIM," R$ 9.516,00 ",
23088.007817/2017-48,2017,CONSOLIDACAO E REESTRUTURACAO DO PROGRAMA DE INCUBACAO DA INTECOOP - COM A PRIORIZACAO DE ACOES ESTRATEGICAS E DE GESTAO ÀS ASSOCIACÕES E COOPERATIVAS INCUBADAS,CARLOS EDUARDO CORREA MOLINA,IEM,1/4/2017,31/12/2017,SIM," R$ 10.000,00 ",
23088.007822/2017-51,2017,ECONOMIA SOLIDARIA NA PEROBA - ITAJUBA MG: GERACAO DE RENDA E EMANCIPACAO SOCIAL DAS MULHERES RURAIS,VIVIANE GUIMARAES PEREIRA,IEPG,3/4/2017,15/12/2017,SIM," R$ 7.659,60 "," R$ 7.282,00 "
23088.007824/2017-40,2017,"RECUPERACAO DA AREA DE RECARGA AS NASCENTE DO BAIRRO PEDRAO, ULITIZADA COMO FONTE DE ABASTECIMENTO DE AGUA PELA COMUNIDADE RURAL",ANA LUCIA FONSECA,IRN,19/4/2017,31/12/2017,SIM," R$ 9.400,00 "," R$ 3.694,35 "
23088.007829/2017-40,2017,SEMEADURA DO DIALOGO ENTRE ENGENHARIA E AGROECOLOGIA: ESCOLA LIVRE DE AGROECOLOGIA E SOCIEDADE (ELAS) EM PEDRALVA,LUIZ FELIPE SILVA,IRN,5/5/2017,31/12/2017,SIM," R$ 10.000,00 ",
23088.007830/2017-05,2017,GESTAO DE RESIDUOS INDUSTRIAIS,ROGERIO  JOSE DA SILVA,IEM,16/9/2017,7/10/2017,SIM," R$ 7.448,00 ",
23088.007830/2017-05,2017,GESTAO DE RESIDUOS INDUSTRIAIS,ROGERIO JOSE DA SILVA,IEM,1/5/2017,31/12/2017,SIM, R$ -   , R$ -   
23088.007832/2017-96,2017,PRATICAS INCLUSICAS NO ENSINO DE CIENCIAS,PALOMA ALINNE ALVES RODRIGUES RUAS,IFQ,1/4/2017,31/12/2017,SIM," R$ 10.000,00 ",
23088.007837/2017-19,2017,O ESPACO INTERCIENCIAS: O CENTRO DE DIVULGACAO CIENTIFICA DA UNFEI,AGENOR PINA DA SILVA,IFQ,20/2/2017,10/12/2017,SIM," R$ 10.000,00 ",
