Código,Data Início,Data Fim,TÍTULO DO PROJETO,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador
841,1/8/2019,1/7/2025,"Teoria de Singularidades e Aplicações à Geometria Diferencial, Equações Diferenciais e Visão Computacional ",FAPESP ,Luis Fernando de Osório Mello,IMC
842,1/1/2020,31/3/2024,Diseño aerodinámico de una turbina eólica de eje vertical de baja potencia para aplicaciones en una región con importante potencial eólico en Boyacá,Universidad Santo Tomás - Seccional Tunja - Colômbia, Angie Lizeth Espinosa Sarmiento,IEM
PVDI33-2019,1/1/2019,17/6/2025,"Estudo Teórico-Experimental em Transferência de Calor com Ênfase no Desenvolvimento de Técnicas de Problemas Inversos
",FAPEMIG,Sandro Metrevelle Marcondes de Lima e Silva,IEM
PVDI120-2020,1/11/2020,31/12/2025,"Derivadores Rastreados por Satélite e Monitoramento Automático de Parâmetros Ambientais Aplicados ao Entendimento da Contribuição dos Afluentes para o Restabelecimento do Rio Doce
",FAPEMIG,"
ARCILAN TREVENZOLI ASSIREU",IRN
PVDI105-2020,1/3/2020,31/3/2024,"Biocombustíveis a partir de resíduos: combustão, energia e ciclos não convencionais
",CNPq,"
CHRISTIAN JEREMI CORONADO RODRIGUEZ",IEM
PIDI91-2018 ,1/3/2018,18/6/2025,Desenvolvimento de Próteses Híbridas para Membros Inferiores com Reforços 3D ,FAPEMIG,ANTONIO CARLOS ANCELOTTI JUNIOR ,IEM
PVDI119-2018 ,18/12/2018,17/5/2024,Umbílicos em Superfícies Convexas e Injetividade Global ,FAPEMIG,Luis Fernando de Osório Mello,IMC
PIDI68-2017 ,1/11/2017,15/5/2025,Desenvolvimento e integração entre os processos síntese de metanol e MTO (methanol-to-olefins) em microescala usando fluidodinâmica computacional ,FAPEMIG,Maximilian Joachim Hodapp,IRN
PIDI112-2020,1/2/2020,31/12/2024,Monitoramento espectral para estimativa das condições hídricas de áreas cafeeiras ,EMBRAPA,VANESSA CRISTINA OLIVEIRA DE SOUZA ,IMC
PVDI127-2017 ,1/11/2017,20/5/2024,Fluidos magnetoreológicos dilatantes ,FAPEMIG,Antonio José Faria Bombard,IFQ
PVDI128-2021,1/3/2021,28/2/2025,"Teoria Qualitativa das Equações Diferenciais, Mecânica Celeste e Conjectura Jacobiana",CNPq,Luis Fernando de Osório Mello,IMC
PVDI130-2021,1/3/2021,29/2/2024,Análise Numérica e Experimental em Transferência de Calor e Aplicações em Problemas Inversos,CNPq,Sandro Metrevelle Marcondes de Lima e Silva,IEM
PVDI194-2021,1/3/2021,1/3/2024,Otimização via Simulação por Metamodelagem: uma Nova Abordagem Utilizando Machine Learning,CNPq,Rafael de Carvalho Miranda,IEPG
PVDI145-2021,1/8/2021,31/7/2024,Espaços-tempos com Simetria Espacial Intrínseca II,Não possui,Leandro Gustavo Gomes,IMC
PVDI180-2021,1/8/2021,31/7/2024,Configurações Centrais do Problema de N Corpos Simétricas por Reflexão,Não possui,LUCAS RUIZ DOS SANTOS,IMC
PVDI179-2021,1/8/2021,31/7/2024,ESTUDO DE MÉTODOS DE EXTRAÇÃO/RECUPERAÇÃO DE ENERGIA DE SISTEMA FOTOVOLTAICO SOMBREADO OU EM DESEQUILÍBRIO,Não possui,ENIO ROBERTO RIBEIRO,IESTI
PIDI147-2021,1/8/2021,31/7/2024,Produção de estudos de caso em História da Ciência para o Ensino de Química,Não possui,EVANDRO FORTES ROZENTALSKI,IFQ
PVDI197-2021,1/4/2021,31/3/2024,Projeções das principais variáveis atmosféricas na caracterização dos expossomas brasileiros: o câncer de pele além da radiação ultravioleta,CNPq,MARCELO DE PAULA CORREA,IRN
PVDI173-2021,1/8/2021,31/7/2024,Análise da eficiência da valorização de biomassa de resíduos agroindustriais para bioenergia utilizando secador de leito fluidizado,Não possui,HUGO PERAZZINI,IRN
PVDI174-2021,1/8/2021,31/7/2024,UTILIZAÇÃO DE ENERGIA SOLAR PARA O TRATAMENTO E APROVEITAMENTO DE RESÍDUOS AGROINDUSTRIAIS COMO BIOMASSA PARA BIONERGIA,Não possui,Maisa Tonon Bitti Perazzini,IRN
PIDI188-2021,1/8/2021,31/7/2024,Estudo da abordagem multiescala para o mapeamento de mudanças no uso e cobertura do solo e associações com o depleciamento de recursos naturais,Não possui,Samara Calçado de Azevedo,IRN
PIDI135-2021,1/8/2021,31/7/2024,Estudo de compósitos cimentícios autoadensáveis produzidos com materiais alternativos,Não possui,Valquíria Claret dos Santos,IRN
PVDI177-2021,1/8/2021,31/7/2024,Aplicação de Técnicas Meta-heurísticas para a Alocação Ótima de Equipamentos FACTS em Sistemas Elétricos de Potência,Não possui,CAMILA PAES SALOMON,ISEE
PVDI198-2021,1/3/2021,28/2/2024,Módulos termoelétricos cerâmicos: Aprimoramento da conversão de calor residual em energia elétrica,CNPq,Maria Virgínia Gelfuso,IEM
PIDI200-2021,1/3/2021,29/2/2024,OBTENÇÃO E APLICAÇÃO DE SISTEMAS COM PROPRIEDADES CRÔMICAS BASEADOS EM ESPIROPIRANOS,CNPq,Frederico Barros de Sousa,IFQ
PVDI202-2021,12/4/2021,27/6/2025,Plataforma de Previsão de Vazões na Bacia do Rio Paraíba do Sul como Suporte à Prevenção de Inundações,AGEVAP,Vanessa Silveira Barreto Carvalho,IRN
PVDI201-2021,1/3/2021,28/2/2026,Monitoramento de processos e Inspeção por amostragm,CNPq,ANTONIO FERNANDO BRANCO COSTA,IEPG
PVDI218-2021 ,4/11/2021,8/10/2024,Utilização da Simulação Baseada em Agentes (SBA) combinada a Simulação a Eventos Discretos (SED) para o sequenciamento da produção de Sistemas Job Shop Flexíveis ,FAPEMIG,ALEXANDRE FERREIRA DE PINHO ,IEPG
PVDI207-2021 ,1/10/2021,30/9/2024,Valorização de resíduo do processamento da cana-de-açúcar pela utilização da hemicelulose para a produção integrada de bioetanol no contexto de biorrefinaria por diferentes abordagens ,FAPEMIG,THAIS SUZANE MILESSI ESTEVES ,IRN
PIDI219-2021 ,9/11/2021,8/11/2024,"Estudo, Caracterização e otimização de materiais orgânicos que apresentam Fluorescência Atrasada Ativada Termicamente e Fofotoluminêscencia de Longa Duração ",FAPEMIG,ROBERTO SHIGUERU NOBUYASU JUNIOR ,IFQ
PVDI206-2021 ,22/10/2021,21/10/2024,Aumento da Segurança e Desempenho de ARPs em Relação ao Controle de Voo ,FAPEMIG,Yohan Alí Díaz Méndez  ,IEM
PVDI209-2021,1/7/2021,30/6/2024,LOGÍSTICA E TRANSPORTES NO CONTEXTO DO GREEN SUPPLY CHAIN MANAGEMENT E ECONOMIA CIRCULAR,FAPEMIG,RENATO DA SILVA LIMA,IEPG
PVDI208-2021,25/11/2021,25/11/2024,Simulação e otimização de Sistemas Híbridos Isolados de Geração de Energia Elétrica com base em Energias Renováveis,FAPEMIG,Diego Mauricio Yepes Maya,IEM
PVDI212-2021,15/11/2021,14/11/2024,Avaliação Do Desempenho De Um Sistema Híbrido De Painel Fotovoltaico E Bomba De Calor Para Aquecimento De Água Aproveitando A Irradiação Solar No Estado De Minas Gerais,FAPEMIG,JUAN JOSE GARCIA PABON,IEM
PIDI211-2021,27/10/2021,27/10/2024,Efeito da temperatura e do campo magnético sobre o comportamento dinâmico de vigas sanduíche com núcleo colmeia preenchida por elastômero magneto reológico,FAPEMIG,Felipe de Souza Eloy,IEM
PVDI216-2021,1/12/2021,30/11/2024,Mercados de Eletricidade Inteligentes: Modelagem Técnica-Econômica e Regulatória,FAPEMIG,BENEDITO DONIZETI BONATTO,ISEE
PVDI225-2021,12/11/2021,12/11/2024,SISTEMAS DINÂMICOS NÃO-LINEARES DE DIMENSÃO INFINITA,FAPEMIG,JACSON SIMSEN,IMC
PVDI222-2021,11/11/2021,10/11/2024,Sistema de Alerta de Inundações em Bacias Hidrográficas de Pequenas Escala sob Influência de Expansão Urbana,FAPEMIG,BENEDITO CLAUDIO DA SILVA,IRN
PVDI214-2022,17/12/2021,17/12/2024,Valorização de resíduos agroindustriais de açaí como biomassa para bioenergia: estudo da secagem por leito fluidizado,FAPEMIG,HUGO PERAZZINI,IRN
PVDI228-2022,1/3/2022,31/8/2025,Impactos e consequências das projeções climáticas oriundas dos novos modelos climáticos na produtividade do Eucalyptus sp. no Brasil,CNPq,Fabrina Bolzan Martins,IRN
PVDI230-2022,1/3/2022,28/2/2025,"A Educação em Ciências e os Processos de Significação sobre a Temática Ambiental: um estudo a partir de parcerias entre escolas, empresas e setores organizados da sociedade civil",CNPq,Luciano Fernandes Silva,IFQ
PIDI241-2022,2/1/2022,1/1/2025,Desenvolvimento de sistemas fotocrômicos e suas aplicações para o sensoriamento,FAPEMIG,Frederico Barros de Sousa,IFQ
PVDI240-2021,21/12/2021,21/12/2024,Melhoramento do potencial energético de biogás da (co)digestão anaeróbia de resíduos sólidos orgânicos como incentivo às fontes renováveis de energias: pré-tratamento do substrato e co(digestão) visando ao aproveitamento do hidrogênio,FAPEMIG,REGINA MAMBELI BARROS,IRN
