N�;Nome do Projeto;In��cio;T�mino;Status;�rg�o Financiador;Recursos Internos ;Recursos Externos ;Participa��o     Inicio e fim;Equipe;Instituto Vinculado;Cargo (Aluno/ Coordenador/ Professor);Carga Hor�ria;Observa��es;Nota;;
15;Estudo e análise das propriedades do alimínio 7075 sobre a solubilização e envelhecimento;01/01/2011;01/03/2012;;PET/SESU - MEC;R$ 0,00;;04/2011 a 03/2012;Bruno Constantini, 17162;;Discente;8;;;;
16;Desenvolvimento e caracterização de materiais poliméricos para absorção de radiação eletromagnética ou para sensores de umidade;01/11/2010;01/11/2012;Expirado;FAPEMIG;R$ 0,00;R$ 47.040,00;11/2010 a 11/2012;Carla Patrícia Lacerda Rubinger;IFQ;Coordenador;5;Arquivado Caixa A;;;
16;Desenvolvimento e caracterização de materiais poliméricos para absorção de radiação eletromagnética ou para sensores de umidade;01/11/2010;01/11/2012;;FAPEMIG;R$ 0,00;R$ 47.040,00;11/2010 a 11/2012;Marcelos Lima Peres;IFQ;Docente;5;;;;
16;Desenvolvimento e caracterização de materiais poliméricos para absorção de radiação eletromagnética ou para sensores de umidade;01/11/2010;01/11/2012;;FAPEMIG;R$ 0,00;R$ 47.040,00;11/2010 a 11/2012;Maria Virgínia Gelfuso;IEM;Docente;5;;;;
16;Desenvolvimento e caracterização de materiais poliméricos para absorção de radiação eletromagnética ou para sensores de umidade;01/11/2010;01/11/2012;;FAPEMIG;R$ 0,00;R$ 47.040,00;11/2010 a 11/2012;Rero Marques Rubinger;IFQ;Docente;5;;;;
17;A prática do Kendo;13/04/2011;01/02/2011;01/08/2011;Expirado;;R$ 0,00;;02/2011 a 08/2011;Rogério Rodrigues;IFQ;;3;Arquivado Caixa A;;
18;A prática do Kendo e a expressão do sentimento de luta;01/02/2011;01/08/2011;Expirado;;R$ 0,00;;02/2011 a 08/2011;Rogério Rodrigues;IFQ;Coordenador;3;Arquivado Caixa A;;;
19;A Educação Física escolar entre a formação profissional e o mercado de trabalho;01/02/2011;01/08/2011;Expirado;;R$ 0,00;;02/2011 a 08/2011;Rogério Rodrigues;IFQ;Coordenador;3;Arquivado Caixa A;;;
20;Desenvolvimento, processamento e caracterização microestrutural e mecânica de aços bifásicos;01/08/2010;01/07/2012;Expirado;;R$ 0,00;;04/2011 a 07/2012;Geovani Rodrigues;IEM;Coordenador;;Arquivado Caixa A;;;
20;Desenvolvimento, processamento e caracterização microestrutural e mecânica de aços bifásicos;01/08/2010;01/07/2012;;;R$ 0,00;;04/2011 a 03/2012;Ana Paula Guimarães Bernardes;;Discente;12;;;;
